iter	Passed	Remaining
666	4908	2450
667	4915	2443
668	4923	2436
669	4930	2428
670	4938	2421
671	4945	2413
672	4951	2405
673	4960	2399
674	4966	2391
675	4975	2384
676	4982	2377
677	4995	2372
678	5013	2370
679	5029	2366
680	5056	2368
681	5075	2366
682	5094	2364
683	5116	2363
684	5133	2360
685	5158	2361
686	5176	2358
687	5196	2356
688	5206	2350
689	5214	2342
690	5222	2335
691	5229	2327
692	5237	2320
693	5244	2312
694	5251	2304
695	5259	2297
696	5266	2289
697	5275	2282
698	5281	2274
699	5289	2267
700	5297	2259
701	5305	2252
702	5312	2244
703	5324	2238
704	5334	2232
705	5344	2225
706	5355	2219
707	5365	2212
708	5375	2206
709	5386	2199
710	5395	2192
711	5406	2186
712	5415	2180
713	5425	2173
714	5435	2166
715	5446	2160
716	5456	2153
717	5468	2147
718	5478	2141
719	5488	2134
720	5499	2128
721	5507	2120
722	5517	2114
723	5528	2107
724	5538	2100
725	5548	2094
726	5558	2087
727	5568	2080
728	5578	2073
729	5593	2068
730	5605	2062
731	5614	2055
732	5624	2048
733	5636	2042
734	5646	2035
735	5654	2028
736	5665	2021
737	5674	2014
738	5688	2008
739	5699	2002
740	5709	1995
741	5719	1988
742	5729	1981
743	5740	1975
744	5751	1968
745	5760	1961
746	5770	1954
747	5781	1947
748	5791	1940
749	5802	1934
750	5813	1927
751	5822	1920
752	5833	1913
753	5843	1906
754	5856	1900
755	5867	1893
756	5877	1886
757	5887	1879
758	5897	1872
759	5908	1865
760	5918	1858
761	5929	1851
762	5938	1844
763	5949	1837
764	5960	1830
765	5970	1823
766	5981	1817
767	5991	1809
768	6001	1802
769	6012	1795
770	6022	1788
771	6032	1781
772	6042	1774
773	6051	1767
774	6062	1759
775	6071	1752
776	6082	1745
777	6090	1737
778	6101	1730
779	6111	1723
780	6121	1716
781	6131	1709
782	6142	1702
783	6153	1695
784	6163	1688
785	6171	1680
786	6182	1673
787	6191	1665
788	6201	1658
789	6217	1652
790	6229	1645
791	6239	1638
792	6248	1631
793	6259	1623
794	6268	1616
795	6278	1609
796	6288	1601
797	6357	1609
798	6372	1603
799	6385	1596
800	6395	1589
801	6407	1581
802	6417	1574
803	6428	1567
804	6437	1559
805	6447	1551
806	6458	1544
807	6468	1537
808	6479	1529
809	6489	1522
810	6500	1514
811	6509	1507
812	6519	1499
813	6529	1492
814	6540	1484
815	6549	1476
816	6559	1469
817	6569	1461
818	6579	1454
819	6590	1446
820	6598	1438
821	6608	1431
822	6618	1423
823	6627	1415
824	6639	1408
825	6648	1400
826	6658	1392
827	6666	1384
828	6676	1377
829	6687	1369
830	6698	1362
831	6708	1354
832	6718	1346
833	6728	1339
834	6738	1331
835	6747	1323
836	6757	1315
837	6767	1308
838	6777	1300
839	6787	1292
840	6796	1284
841	6806	1277
842	6816	1269
843	6826	1261
844	6838	1254
845	6847	1246
846	6858	1238
847	6870	1231
848	6880	1223
849	6890	1215
850	6898	1207
851	6905	1199
852	6912	1191
853	6920	1183
854	6927	1174
855	6936	1166
856	6942	1158
857	6951	1150
858	6958	1142
859	6966	1134
860	6973	1125
861	6981	1117
862	6988	1109
863	6999	1101
864	7007	1093
865	7014	1085
866	7023	1077
867	7031	1069
868	7038	1060
869	7045	1052
870	7053	1044
871	7059	1036
872	7068	1028
873	7074	1019
874	7083	1011
875	7089	1003
876	7097	995
877	7104	987
878	7111	978
879	7118	970
880	7125	962
881	7134	954
882	7140	946
883	7149	938
884	7156	929
885	7165	921
886	7171	913
887	7180	905
888	7187	897
889	7195	889
890	7201	881
891	7210	872
892	7217	864
893	7224	856
894	7232	848
895	7239	840
896	7247	832
897	7254	824
898	7262	815
899	7269	807
900	7277	799
901	7284	791
902	7295	783
903	7306	775
904	7316	767
905	7327	760
906	7334	752
907	7341	743
908	7349	735
909	7355	727
910	7364	719
911	7371	711
912	7379	703
913	7386	694
914	7396	687
915	7403	678
916	7411	670
917	7417	662
918	7426	654
919	7433	646
920	7442	638
921	7448	630
922	7456	622
923	7464	613
924	7471	605
925	7479	597
926	7487	589
927	7496	581
928	7503	573
929	7511	565
930	7518	557
931	7526	549
932	7533	540
933	7541	532
934	7548	524
935	7556	516
936	7563	508
937	7570	500
938	7579	492
939	7586	484
940	7594	476
941	7600	467
942	7609	459
943	7616	451
944	7625	443
945	7631	435
946	7640	427
947	7648	419
948	7656	411
949	7663	403
950	7670	395
951	7677	387
952	7683	378
953	7730	372
954	7758	365
955	7772	357
956	7778	349
957	7786	341
958	7793	333
959	7800	325
960	7808	316
961	7815	308
962	7823	300
963	7832	292
964	7844	284
965	7852	276
966	7859	268
967	7867	260
968	7875	251
969	7881	243
970	7891	235
971	7898	227
972	7907	219
973	7913	211
974	7922	203
975	7928	194
976	7937	186
977	7944	178
978	7953	170
979	7960	162
980	7969	154
981	7977	146
982	7985	138
983	7992	129
984	8000	121
985	8007	113
986	8014	105
987	8021	97
988	8028	89
989	8036	81
990	8043	73
991	8052	64
992	8059	56
993	8067	48
994	8074	40
995	8082	32
996	8089	24
997	8097	16
998	8104	8
999	8111	0
